gps_residential,gps_away_from_home
-0.0042899999999999995,0.00701
-0.00571,0.00839
-0.0071400000000000005,0.0109
-0.0071400000000000005,0.0109
-0.00857,0.0126
-0.01,0.013999999999999999
-0.01,0.013999999999999999
-0.0114,0.0154
-0.0114,0.0154
-0.01,0.0129
-0.01,0.0129
-0.00857,0.0112
-0.00571,0.008440000000000001
-0.0042899999999999995,0.006840000000000001
-0.00143,0.00396
0.0042899999999999995,-0.00157
0.01,-0.0116
0.0157,-0.0232
0.0271,-0.0368
0.0414,-0.0507
0.06,-0.0715
0.08,-0.0916
0.0986,-0.11
0.111,-0.132
0.12300000000000001,-0.155
0.136,-0.171
0.147,-0.182
0.156,-0.191
0.163,-0.19899999999999998
0.17,-0.205
0.174,-0.213
0.17600000000000002,-0.21600000000000003
0.179,-0.21899999999999997
0.18,-0.221
0.18100000000000002,-0.222
0.183,-0.22399999999999998
0.184,-0.225
0.184,-0.225
0.18600000000000003,-0.228
0.187,-0.23
0.18899999999999997,-0.231
0.19,-0.233
0.191,-0.23399999999999999
0.19399999999999998,-0.237
0.193,-0.23399999999999999
0.193,-0.23399999999999999
0.19399999999999998,-0.23600000000000002
0.193,-0.235
0.191,-0.233
0.19,-0.23199999999999998
0.187,-0.22899999999999998
0.187,-0.22899999999999998
0.184,-0.223
0.18100000000000002,-0.22
0.18100000000000002,-0.22
0.18100000000000002,-0.22
0.18100000000000002,-0.22
0.18,-0.218
0.177,-0.213
0.177,-0.213
0.17600000000000002,-0.212
0.16399999999999998,-0.2
0.163,-0.19899999999999998
0.16,-0.196
0.156,-0.192
0.153,-0.187
0.149,-0.17800000000000002
0.146,-0.175
0.153,-0.182
0.15,-0.17800000000000002
0.147,-0.17600000000000002
0.147,-0.17600000000000002
0.146,-0.17300000000000001
0.14400000000000002,-0.17
0.14400000000000002,-0.17
0.14300000000000002,-0.16899999999999998
0.141,-0.16699999999999998
0.141,-0.16699999999999998
0.139,-0.16399999999999998
0.139,-0.16399999999999998
0.14,-0.16699999999999998
0.139,-0.166
0.13699999999999998,-0.16399999999999998
0.136,-0.163
0.133,-0.16
0.131,-0.158
0.129,-0.153
0.124,-0.145
0.131,-0.153
0.12300000000000001,-0.14300000000000002
0.121,-0.142
0.12,-0.14
0.11900000000000001,-0.139
0.11699999999999999,-0.136
0.11699999999999999,-0.136
0.113,-0.131
0.111,-0.13
0.11,-0.128
0.109,-0.127
0.107,-0.125
0.106,-0.12300000000000001
0.10400000000000001,-0.12
0.10300000000000001,-0.11800000000000001
0.10099999999999999,-0.11699999999999999
0.1,-0.115
0.0986,-0.114
0.0957,-0.111
0.0943,-0.109
0.0929,-0.106
0.0929,-0.106
0.0914,-0.10400000000000001
0.09,-0.10300000000000001
0.0886,-0.10099999999999999
0.0857,-0.0986
0.0843,-0.096
0.0829,-0.0931
0.0829,-0.0931
0.0829,-0.0931
0.0829,-0.0931
0.0829,-0.0931
0.0857,-0.0959
0.0871,-0.0984
0.0886,-0.10099999999999999
0.0871,-0.0996
0.0871,-0.0996
0.0857,-0.098
0.0843,-0.0966
0.0886,-0.10099999999999999
0.0857,-0.0991
0.0843,-0.0966
0.0857,-0.0983
0.0857,-0.0983
0.0871,-0.0999
0.0886,-0.10099999999999999
0.0886,-0.10099999999999999
0.0886,-0.10099999999999999
0.0886,-0.10099999999999999
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0871,-0.0996
0.0857,-0.098
0.0857,-0.098
0.0843,-0.0966
0.0843,-0.0966
0.0843,-0.0966
0.0843,-0.0966
0.0843,-0.0966
0.0843,-0.0966
0.0829,-0.0952
0.0829,-0.0952
0.0814,-0.0927
0.08,-0.0898
0.0786,-0.0881
0.0771,-0.0867
0.0771,-0.0867
0.0771,-0.0867
0.0771,-0.0867
0.0771,-0.0867
0.0786,-0.0896
0.0786,-0.0896
0.0786,-0.0896
0.0786,-0.0896
0.0786,-0.0896
0.0771,-0.0882
0.0771,-0.0882
0.0771,-0.0882
0.0786,-0.0899
0.0786,-0.0899
0.0786,-0.0899
0.0786,-0.0899
0.0786,-0.0899
0.08,-0.0924
0.0786,-0.0895
0.0771,-0.0878
0.0757,-0.0864
0.0743,-0.0848
0.0714,-0.08199999999999999
0.07,-0.0806
0.0671,-0.0756
0.0657,-0.0727
0.0757,-0.0845
0.0657,-0.0727
0.0657,-0.0727
0.0671,-0.0741
0.0671,-0.0741
0.0686,-0.0766
0.0714,-0.0824
0.07,-0.0807
0.07,-0.0807
0.07,-0.0807
0.07,-0.0807
0.07,-0.0807
0.0686,-0.0782
0.0671,-0.0753
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0686,-0.077
0.0671,-0.0754
0.0657,-0.07400000000000001
0.0657,-0.07400000000000001
0.0657,-0.07400000000000001
0.0657,-0.07400000000000001
0.0643,-0.0723
0.0629,-0.0709
0.0629,-0.0709
0.0643,-0.0723
0.0643,-0.0723
0.0657,-0.0748
0.0671,-0.0777
0.07,-0.0811
0.0686,-0.0791
0.07,-0.0807
0.07,-0.0807
0.0714,-0.0821
0.0714,-0.0821
0.0714,-0.0821
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0729,-0.0838
0.0743,-0.0867
0.0757,-0.0884
0.0771,-0.0898
0.0786,-0.0914
0.08,-0.0928
0.0786,-0.0914
0.0786,-0.0914
0.0786,-0.0914
0.0771,-0.0898
0.0757,-0.0884
0.0757,-0.0884
0.0757,-0.0884
0.0771,-0.0897
0.0786,-0.0922
0.0786,-0.0922
0.08,-0.0939
0.0814,-0.0953
0.0843,-0.0985
0.0829,-0.0968
0.0857,-0.0995
0.0871,-0.102
0.0886,-0.105
0.0886,-0.105
0.09,-0.106
0.0914,-0.10800000000000001
0.0914,-0.10800000000000001
0.0914,-0.10800000000000001
